index,name,artist,release_date,length,popularity,danceability
319,Band On The Run - Remastered 2010,Wings,1973,5.2171,71,0.479
320,Enjoy the Silence - Single Mix,Depeche Mode,1990,4.288883333,66,0.641
321,Mr. Jones,Counting Crows,1993,4.538216667,76,0.578
322,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,1965,2.078216667,68,0.425
323,Self Esteem,The Offspring,2005,4.296,74,0.458
324,All the Young Dudes,Mott The Hoople,1972,3.517766667,63,0.429
325,The Logical Song - Remastered 2010,Supertramp,1979,4.18755,73,0.625
326,Ticket To Ride - Remastered 2009,The Beatles,1965,3.161333333,65,0.519
327,Disarm - Remastered,The Smashing Pumpkins,1993,3.28175,65,0.527
328,What's My Age Again?,blink-182,1999,2.476216667,2,0.403
329,Fly Away,Lenny Kravitz,1998,3.688866667,70,0.587
330,Starlight,Muse,2006,4.00355,73,0.55
331,Fool in the Rain - 1990 Remaster,Led Zeppelin,1979,6.214883333,63,0.539
332,I Heard It Through The Grapevine,Marvin Gaye,1968,3.238216667,73,0.711
333,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,2008,4.56,72,0.464
334,Daughter (Remastered),Pearl Jam,1993,3.90555,68,0.615
335,Rooster,Alice In Chains,1992,6.238883333,69,0.269
336,Runnin' Down A Dream,Tom Petty,2019,4.36355,70,0.471
337,Heart Of Glass - Special Mix,Blondie,2002,4.537766667,40,0.659
338,I Can't Explain - Mono Version,The Who,1965,2.088666667,52,0.572
339,You Give Love A Bad Name,Bon Jovi,1986,3.711766667,1,0.537
340,Down with the Sickness,Disturbed,2010,4.6451,67,0.649
341,You Really Got Me - 2015 Remaster,Van Halen,1978,2.602433333,68,0.454
342,The Pot,TOOL,2006,6.365766667,68,0.469
343,Fell In Love With a Girl,The White Stripes,2001,1.834883333,44,0.144
344,Old Time Rock & Roll,Bob Seger,1978,3.235766667,73,0.714
345,Gimme Some Lovin' - Single Mix,The Spencer Davis Group,1966,2.980666667,61,0.598
346,Jack & Diane,John Mellencamp,1982,4.24155,74,0.811
347,Werewolves of London - 2007 Remaster,Warren Zevon,1978,3.4911,66,0.75
348,My Sharona,The Knack,1979,4.923333333,73,0.586
349,My Hero,Foo Fighters,1997,4.333766667,70,0.398
350,Tutti Frutti,Little Richard,1957,2.403766667,64,0.555
351,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,1976,5.020433333,71,0.456
352,Hush,Deep Purple,1968,4.416216667,54,0.577
353,Down On The Corner,Creedence Clearwater Revival,1969,2.771333333,73,0.858
354,The Beautiful People,Marilyn Manson,1996,3.6471,72,0.621
355,Jailhouse Rock,Elvis Presley,1958,2.441333333,72,0.647
